x_um,Ex_real_Vpm,Ex_imag_Vpm,Ey_real_Vpm,Ey_imag_Vpm,Ez_real_Vpm,Ez_imag_Vpm
-4.438045270937657,4454.520632827713,-39472.12068074732,77465.22093632739,29800.417727042746,-10393.673151575178,-1458.106021200414
-4.421994474297737,4396.99753145887,-40004.539110453916,74553.94754047388,26972.48984702084,-9968.5343016423,-2314.5325971153043
-4.4059436776578185,4422.637046871996,-40636.6929502821,72356.60790496951,24376.686583708026,-9560.838847103469,-2817.9945706185626
-4.389892881017898,4452.624641139574,-40738.22297337526,70095.40076694246,21069.449151202323,-9099.022987504324,-3521.0823231401264
-4.37384208437798,4482.612235407148,-40839.75299646837,67972.0627151375,17669.039528646004,-8614.140492642127,-4194.931403099639
-4.357791287738061,4512.599829674719,-40941.283019561524,65986.59374955429,14175.457716038487,-8106.191362516789,-4839.541810497234
-4.341740491098141,4542.5874239423,-41042.81304265465,64138.993870192935,10588.703713379953,-7575.175597128358,-5454.913545332827
-4.325689694458222,4572.575018209876,-41144.34306574777,62429.26307705343,6908.777520670392,-7021.0931964768115,-6041.046607606442
-4.309638897818303,4271.890983345358,-40655.42276550879,61481.27156455864,1999.6429947866673,-6874.557106310901,-5688.822363136729
-4.293588101178384,4303.586509205353,-40643.435184982096,59912.81528724285,-1821.5529747685687,-6000.496982041866,-6286.286992950472
-4.277537304538464,4335.282035065328,-40631.447604455374,58485.30372966337,-5626.7053692461595,-5112.001151810545,-6881.112519401726
-4.261486507898545,4366.977560925319,-40619.46002392867,57198.73689182018,-9415.814188646176,-4209.069615616958,-7473.298942490499
-4.245435711258626,6269.038378527046,-42331.86278780225,57583.52667488428,-14626.089681584552,-2504.950596933122,-8787.464789046018
-4.2293849146187075,6440.293736883086,-42840.52434274779,57053.3158332816,-18741.433858142103,-1819.6478823388354,-9053.02978257547
-4.213334117978787,6570.15351977687,-42607.861054852045,56639.09672329201,-23372.356502950446,-1004.2239202439291,-9354.19432435093
-4.197283321338869,6752.046778590264,-42520.7183249331,56244.52136011326,-27432.363859295423,-224.35802642117926,-9526.616310202573
-4.18123252469895,6495.882495190995,-41437.22638369175,56205.27512388955,-31723.74147875885,997.7161831420669,-10643.39419895344
-4.16518172805903,6836.525951668106,-41331.75917022572,56969.07828536011,-37037.73083466395,1800.822691107137,-11050.39380123379
-4.149130931419111,7177.169408145204,-41226.29195675968,57815.488277608296,-42388.194266117585,2603.6447379946994,-11431.471080621266
-4.133080134779192,7517.812864622308,-41120.82474329364,58744.50510063389,-47775.1317731196,3406.1823238047577,-11786.626037115851
-4.117029338139273,7858.456321099409,-41015.3575298276,59756.12875443706,-53198.54335567014,4208.435448537308,-12115.858670717571
-4.100978541499353,8199.099777576517,-40909.89031636158,60850.359239017795,-58658.42901376916,5010.404112192353,-12419.168981426403
-4.084927744859434,8539.743234053625,-40804.423102895555,62027.19655437601,-64154.788747416635,5812.088314769896,-12696.556969242365
-4.068876948219515,8880.386690530724,-40698.95588942951,63286.64070051182,-69687.6225566126,6613.488056269927,-12948.022634165443
-4.052826151579596,9221.030147007828,-40593.48867596347,64628.69167742507,-75256.93044135698,7414.603336692453,-13173.565976195645
-4.036775354939676,9922.290368209035,-40532.422497169864,66045.92703119216,-80848.74650315107,8242.583470784213,-13245.280896221697
-4.020724558299757,10325.175851209291,-40164.031333021536,67471.72242409669,-86351.24536750356,8966.900948421338,-13164.648002119415
-4.004673761659838,10728.061334209535,-39795.64016887317,68873.46932018496,-91732.67202634673,9678.77435737649,-13045.958452530878
-3.9886229650199194,11130.94681720976,-39427.249004724836,70251.16771945692,-96993.02647968015,10378.203697649627,-12889.212247456106
-3.97257216838,11533.83230021001,-39058.85784057647,71604.81762191265,-102132.30872750442,11065.188969240831,-12694.409386895075
-3.956521371740081,11936.71778321027,-38690.46667642813,72934.41902755217,-107150.5187698194,11739.730172150083,-12461.549870847786
-3.9404705751001616,12149.51818303885,-38388.71141671266,74345.3264872647,-112163.48639527056,12601.33572313048,-11911.107701300065
-3.9244197784602424,12438.865537173227,-37359.85238612657,75591.43227832625,-117090.4425908577,13229.501597619172,-12657.807589273369
-3.908368981820323,12693.595547925233,-36884.372120021915,76667.08991732255,-122849.10530022343,13879.37943392346,-12515.92578248371
-3.892318185180404,12948.325558677261,-36408.89185391728,77638.43311063868,-128526.20765294631,14498.787681065116,-12362.537792624778
-3.8762673885404846,13663.755476895534,-39042.30860489686,78417.86614620044,-133528.2691415,15100.875912311654,-12106.571283127176
-3.8602165919005653,14337.576147706595,-38710.69792155313,79026.14725897163,-139387.01180075452,15838.963843344609,-12304.281236819725
-3.844165795260646,15011.396818517707,-38379.08723820941,79308.5761822775,-145054.8748848359,16541.645664486645,-12480.383400747447
-3.828114998620727,14769.233938826084,-34428.086709528856,79245.23052883598,-148040.51390882386,16547.89163692139,-9959.183069307364
-3.8120642019808075,15026.11312384169,-34249.221444984854,78563.04726011475,-151258.72174333298,16871.11505057798,-10214.08037686377
-3.7960134053408883,15282.992308857309,-34070.35618044089,77678.61867612926,-154220.5256417134,17145.660781979816,-10447.853564615289
-3.77996260870097,15539.871493872912,-33891.49091589691,76591.94477687949,-156925.9256039648,17371.528831126838,-10660.502632561838
-3.7639118120610506,15796.750678888537,-33712.62565135288,75303.02556236541,-159374.92163008757,17548.71919801912,-10852.0275807035
-3.7478610154211314,16053.629863904134,-33533.7603868089,73811.86103258701,-161567.51372008148,17677.231882656564,-11022.428409040165
-3.731810218781212,17365.645005774448,-31751.415384185,72338.1365389197,-163235.3218303993,17930.314811662767,-10668.550764639484
-3.715759422141293,16793.070756983907,-31457.19540070558,69719.58140745896,-165313.62489989912,18003.4058578454,-10231.558100824266
-3.6997086255013736,16220.496508193359,-31162.97541722624,66718.95592403831,-167054.22128852602,18026.26743901158,-9772.936047042243
-3.6836578288614543,14918.288053991717,-30319.50706869408,62873.08520050798,-168106.7636829542,16948.262461106093,-8719.882326868435
-3.667607032221535,16280.916968942205,-32291.75470840981,58674.37906996948,-166706.21736886335,17962.395737611318,-8059.620368267628
-3.651556235581616,15344.765210990652,-30661.388306002136,56216.10196534179,-166808.3628812229,19565.142493619252,-7199.8310258968895
-3.6355054389416965,15983.050331224225,-29383.66982814685,51238.607816878095,-166023.94800631338,19915.644539453107,-6123.976680306383
-3.6194546423017773,16621.33545145777,-28105.951350291463,45915.54710753266,-164882.43680258948,20230.506151215894,-5043.955568964058
-3.603403845661858,17259.620571691332,-26828.23287243617,40246.919837305424,-163383.82927005115,20509.72732890769,-3959.7676918699544
-3.5873530490219387,17897.9056919249,-25550.51439458085,34232.72600619648,-161528.12540869843,20753.308072528413,-2871.413049023952
-3.5713022523820204,18934.47455803254,-24862.068506143827,27546.48079887904,-159105.76542768668,21076.06228731777,-2114.17379341599
