physical_angle_from_+z_deg,normalized_power
2.473858822623641984e+01,1.258865094160548136e-03
2.464566557958441351e+01,1.180158701455160178e-03
2.455281202395980600e+01,1.103625286658257466e-03
2.446002716215305028e+01,1.029570048807653283e-03
2.436731059914152198e+01,9.582845048164168609e-04
2.427466194206897043e+01,8.900452770125990643e-04
2.418208080022513684e+01,8.251129367474563207e-04
2.408956678502565651e+01,7.637309087427037076e-04
2.399711950999215304e+01,7.061244409455738136e-04
2.390473859073253848e+01,6.524996447071823493e-04
2.381242364492156582e+01,6.030426100938088372e-04
2.372017429228156615e+01,5.579186010816790256e-04
2.362799015456337770e+01,5.172713352735542822e-04
2.353587085552752001e+01,4.812223526102462397e-04
2.344381602092553862e+01,4.498704773328294593e-04
2.335182527848158784e+01,4.232913771831218770e-04
2.325989825787413778e+01,4.015372235125308996e-04
2.316803459071796567e+01,3.846364556047158958e-04
2.307623391054628570e+01,3.725936521081653200e-04
2.298449585279304586e+01,3.653895120235290252e-04
2.289282005477550186e+01,3.629809472005904205e-04
2.280120615567686215e+01,3.653012877745837354e-04
2.270965379652921712e+01,3.722606014150126974e-04
2.261816262019656065e+01,3.837461266761598724e-04
2.252673227135804268e+01,3.996228201315521651e-04
2.243536239649138864e+01,4.197340163490999201e-04
2.234405264385648593e+01,4.439021991242517889e-04
2.225280266347911251e+01,4.719298817400133066e-04
2.216161210713489282e+01,5.036005933700583729e-04
2.207048062833334967e+01,5.386799680892348854e-04
2.197940788230217990e+01,5.769169323096998364e-04
2.188839352597167576e+01,6.180449858254763668e-04
2.179743721795925282e+01,6.617835710285185132e-04
2.170653861855421241e+01,7.078395242600630253e-04
2.161569738970260701e+01,7.559086026870040498e-04
2.152491319499228339e+01,8.056770795486801204e-04
2.143418569963807130e+01,8.568234001092849429e-04
2.134351457046709299e+01,9.090198901791734891e-04
2.125289947590427175e+01,9.619345086386439083e-04
2.116234008595792915e+01,1.015232635013793095e-03
2.107183607220558486e+01,1.068578882819318883e-03
2.098138710777985594e+01,1.121638929100462253e-03
2.089099286735448757e+01,1.174081350378434162e-03
2.080065302713054010e+01,1.225579455032845900e-03
2.071036726482274659e+01,1.275813102042896909e-03
2.062013525964593086e+01,1.324470495957627515e-03
2.052995669230160658e+01,1.371249947975802406e-03
2.043983124496471859e+01,1.415861593088368160e-03
2.034975860127044456e+01,1.458029053371354003e-03
2.025973844630119913e+01,1.497491037714252177e-03
2.016977046657375539e+01,1.534002868527871389e-03
2.007985435002641239e+01,1.567337926295164731e-03
1.998998978600640797e+01,1.597289003207434752e-03
1.990017646525732786e+01,1.623669557564440475e-03
1.981041407990671743e+01,1.646314861108422048e-03
1.972070232345381768e+01,1.665083032005786187e-03
1.963104089075731906e+01,1.679855946783799861e-03
1.954142947802337105e+01,1.690540025169156614e-03
1.945186778279357398e+01,1.697066882457523400e-03
1.936235550393316984e+01,1.699393844763944341e-03
1.927289234161930409e+01,1.697504323259171454e-03
1.918347799732942605e+01,1.691408044281909667e-03
1.909411217382975323e+01,1.681141133027329315e-03
1.900479457516388848e+01,1.666766049342586088e-03
1.891552490664149389e+01,1.648371375005956664e-03
1.882630287482713527e+01,1.626071452722063597e-03
1.873712818752915510e+01,1.600005877926361213e-03
1.864800055378870525e+01,1.570338845352383913e-03
1.855891968386884727e+01,1.537258353169721663e-03
1.846988528924374151e+01,1.500975268344041311e-03
1.838089708258798893e+01,1.461722257697563310e-03
1.829195477776601564e+01,1.419752589953797222e-03
1.820305808982156037e+01,1.375338814829201112e-03
1.811420673496728995e+01,1.328771325981759673e-03
1.802540043057444308e+01,1.280356815337437828e-03
1.793663889516266252e+01,1.230416626985706210e-03
1.784792184838982010e+01,1.179285019460421307e-03
1.775924901104197673e+01,1.127307345798338883e-03
1.767062010502344904e+01,1.074838161290640618e-03
1.758203485334691507e+01,1.022239269309803932e-03
1.749349298012364784e+01,9.698777160016104973e-04
1.740499421055382356e+01,9.181237449777085013e-04
1.731653827091689024e+01,8.673487234252588154e-04
1.722812488856206059e+01,8.179230512650896351e-04
1.713975379189884052e+01,7.702140651368370814e-04
1.705142471038768548e+01,7.245839490676428320e-04
1.696313737453070658e+01,6.813876636894605808e-04
1.687489151586246194e+01,6.409709058085935347e-04
1.678668686694082623e+01,6.036681099998984258e-04
1.669852316133794901e+01,5.698005036978140078e-04
1.661040013363127343e+01,5.396742269879091242e-04
1.652231751939462967e+01,5.135785279675290655e-04
1.643427505518943477e+01,4.917840441441851534e-04
1.634627247855590682e+01,4.745411798777516730e-04
1.625830952800442475e+01,4.620785893500593583e-04
1.617038594300688814e+01,4.546017739660162290e-04
